window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2021-10-22 12:00:00+00:00,2022-10-21 12:00:00+00:00,365,7,6725.323054046587,356,True,39,5,6729.115490898178,3.7924368515914466,1.0252808988764044,"{7: np.float64(6725.32), 5: np.float64(6729.12), 4: np.float64(6731.86), 3: np.float64(6814.43), 6: np.float64(6880.1)}"
1,2022-04-22 12:00:00+00:00,2023-04-21 12:00:00+00:00,365,5,6913.239633794702,244,True,40,7,7127.322387175836,214.08275338113435,1.4959016393442623,"{5: np.float64(6913.24), 7: np.float64(7127.32), 4: np.float64(7183.13), 6: np.float64(7262.76), 3: np.float64(7513.12)}"
2,2022-10-21 12:00:00+00:00,2023-10-20 12:00:00+00:00,365,4,6087.262941289422,191,True,62,7,6157.446271132234,70.18332984281187,1.9109947643979057,"{4: np.float64(6087.26), 7: np.float64(6157.45), 5: np.float64(6163.72), 6: np.float64(6170.97), 3: np.float64(6358.59)}"
3,2023-04-21 12:00:00+00:00,2024-04-19 12:00:00+00:00,365,5,6595.788313184559,244,True,27,4,6751.742583650764,155.95427046620443,1.4959016393442623,"{5: np.float64(6595.79), 4: np.float64(6751.74), 6: np.float64(6761.97), 3: np.float64(6871.44), 7: np.float64(6924.15)}"
4,2023-10-20 12:00:00+00:00,2024-10-18 12:00:00+00:00,365,4,7241.639400357898,191,True,44,6,7263.626910505394,21.987510147496323,1.9109947643979057,"{4: np.float64(7241.64), 6: np.float64(7263.63), 5: np.float64(7274.89), 3: np.float64(7375.96), 7: np.float64(7384.78)}"
5,2024-04-19 12:00:00+00:00,2025-04-18 12:00:00+00:00,365,6,7023.128619911746,299,True,54,4,7029.01906405798,5.890444146234586,1.2207357859531773,"{6: np.float64(7023.13), 4: np.float64(7029.02), 5: np.float64(7052.64), 7: np.float64(7066.82), 3: np.float64(7168.25)}"
6,2024-10-18 12:00:00+00:00,2025-10-17 12:00:00+00:00,365,5,6780.218998790842,244,True,42,4,6824.682036065559,44.46303727471695,1.4959016393442623,"{5: np.float64(6780.22), 4: np.float64(6824.68), 6: np.float64(6870.77), 3: np.float64(6923.66), 7: np.float64(7062.48)}"
7,2025-04-18 12:00:00+00:00,2026-04-17 12:00:00+00:00,365,5,6246.112154758657,244,True,53,4,6283.181551207249,37.06939644859176,1.4959016393442623,"{5: np.float64(6246.11), 4: np.float64(6283.18), 3: np.float64(6435.9), 6: np.float64(6470.52), 7: np.float64(6630.05)}"
