window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2021-10-22 00:00:00+00:00,2022-10-21 00:00:00+00:00,365,4,9742.69835802154,375,True,93,3,9786.217508109157,43.51915008761716,0.9733333333333334,"{4: np.float64(9742.7), 3: np.float64(9786.22), 6: np.float64(10054.58), 5: np.float64(10217.76), 7: np.float64(10848.19)}"
1,2022-04-22 00:00:00+00:00,2023-04-21 00:00:00+00:00,365,5,10982.105563603576,474,True,68,4,11033.006020769773,50.90045716619716,0.770042194092827,"{5: np.float64(10982.11), 4: np.float64(11033.01), 3: np.float64(11178.13), 7: np.float64(11361.99), 6: np.float64(11370.63)}"
2,2022-10-21 00:00:00+00:00,2023-10-20 00:00:00+00:00,365,3,10140.865331332523,278,True,25,6,10217.910955029904,77.0456236973805,1.3129496402877698,"{3: np.float64(10140.87), 6: np.float64(10217.91), 4: np.float64(10239.16), 5: np.float64(10328.03), 7: np.float64(10394.07)}"
3,2023-04-21 00:00:00+00:00,2024-04-19 00:00:00+00:00,365,3,10723.669071789061,278,True,13,4,10832.746729131466,109.07765734240456,1.3129496402877698,"{3: np.float64(10723.67), 4: np.float64(10832.75), 5: np.float64(11051.58), 7: np.float64(11241.7), 6: np.float64(11302.13)}"
4,2023-10-20 00:00:00+00:00,2024-10-18 00:00:00+00:00,365,3,10900.070930810825,278,True,33,5,11074.379393888255,174.30846307743013,1.3129496402877698,"{3: np.float64(10900.07), 5: np.float64(11074.38), 4: np.float64(11125.63), 6: np.float64(11460.84), 7: np.float64(11881.46)}"
5,2024-04-19 00:00:00+00:00,2025-04-18 00:00:00+00:00,365,3,10399.96708758351,278,True,30,4,10476.013231487283,76.04614390377174,1.3129496402877698,"{3: np.float64(10399.97), 4: np.float64(10476.01), 5: np.float64(10635.07), 6: np.float64(10847.0), 7: np.float64(11185.39)}"
6,2024-10-18 00:00:00+00:00,2025-10-17 00:00:00+00:00,365,3,10568.021557265902,278,True,48,4,10817.147216708767,249.12565944286507,1.3129496402877698,"{3: np.float64(10568.02), 4: np.float64(10817.15), 5: np.float64(10966.1), 6: np.float64(11466.41), 7: np.float64(11546.28)}"
7,2025-04-18 00:00:00+00:00,2026-04-17 00:00:00+00:00,365,3,10776.390213105746,278,True,37,4,10921.226259168196,144.8360460624499,1.3129496402877698,"{3: np.float64(10776.39), 4: np.float64(10921.23), 5: np.float64(11159.67), 6: np.float64(11187.99), 7: np.float64(11455.8)}"
