timestamp,cash,qty,price,equity,allocation_pct
2020-04-27 12:00:00+00:00,10000,0,7728.62,10000.00,0
2020-04-28 12:00:00+00:00,6996.104766648598,0.388167,8126.98,10150.730212308598,0.3107781784836283338387586400
2020-04-29 12:00:00+00:00,7105.367809937416,0.374705,8839.63,10417.621369087416,0.3179472013619701681294366512
2020-04-30 12:00:00+00:00,7291.659721089772,0.353599,8995.66,10472.516101429772,0.3037337302260848295155344990
2020-05-01 12:00:00+00:00,7330.731291701071,0.349250,8834.0,10416.005791701071,0.2962051444382054264147406409
2020-05-02 12:00:00+00:00,7291.365144151671,0.353700,9045.5,10490.758494151671,0.3049725481511732252302255130
2020-05-03 12:00:00+00:00,4192.301298190017,0.695859,8672.36,10227.041055430017,0.5900768095612438059761854180
2020-05-04 12:00:00+00:00,4090.743738622022,0.707554,8844.73,10348.867829042022,0.6047158195274105120501118302
2020-05-05 12:00:00+00:00,4139.746716907418,0.702007,9313.0,10677.537907907418,0.6122938871664727404367128920
2020-05-06 12:00:00+00:00,4271.116770613214,0.687884,9280.01,10654.687169453214,0.5991325974489026050333766542
2020-05-07 12:00:00+00:00,4261.880409232604,0.688878,9899.75,11081.600389732604,0.6154093037697561287166047782
2020-05-08 12:00:00+00:00,4432.313452519559,0.671639,9638.85,10906.141027669559,0.5935947058382517028452914786
2020-05-09 12:00:00+00:00,4362.369897999824,0.678886,8737.35,10294.034490099824,0.5762235008834207884267360176
2020-05-10 12:00:00+00:00,4117.086757677725,0.706925,8927.43,10428.110210427725,0.6051933979791668939265421170
2020-05-11 12:00:00+00:00,4170.823761399137,0.700897,8800.92,10339.362186639137,0.5966072484830048522517554960
2020-05-12 12:00:00+00:00,4135.697729583699,0.704883,9035.98,10505.006419923699,0.6063117370647225355860158907
2020-05-13 12:00:00+00:00,4202.037804605505,0.697532,9686.71,10958.828004325505,0.6165613874999279699947954349
2020-05-14 12:00:00+00:00,4383.301740024654,0.678795,9592.38,10894.561322124654,0.5976614743428858095491898423
2020-05-15 12:00:00+00:00,4358.105197856707,0.681418,9414.53,10773.335401396707,0.5954729862683286284550392376
2020-05-16 12:00:00+00:00,4309.274483144347,0.686598,9522.08,10847.115566984347,0.6027262310857459746741154253
2020-05-17 12:00:00+00:00,4338.927039642847,0.683480,9634.89,10924.181656842847,0.6028144554951658929672110089
2020-05-18 12:00:00+00:00,541.279868851939,1.077124,9751.98,11045.371574371939,0.9509948700949232474423738515
2020-05-19 12:00:00+00:00,541.279868851939,1.077124,9731.21,11022.999708891939,0.9508954111270361378018066545
2020-05-20 12:00:00+00:00,541.279868851939,1.077124,9389.97,10655.441915131939,0.9492015560534134163966177171
2020-05-21 12:00:00+00:00,541.279868851939,1.077124,9166.0,10414.198452851939,0.9480248171472371981743756278
2020-05-22 12:00:00+00:00,541.279868851939,1.077124,9172.25,10420.930477851939,0.9480583936336256281298058809
2020-05-23 12:00:00+00:00,541.279868851939,1.077124,9119.0,10363.573624851939,0.9477709245434465575921285782
2020-05-24 12:00:00+00:00,541.279868851939,1.077124,8752.41,9968.710737691939,0.9457021190508270459253561331
2020-05-25 12:00:00+00:00,541.279868851939,1.077124,8869.15,10094.454193451939,0.9463784907555421952932558140
2020-05-26 12:00:00+00:00,541.279868851939,1.077124,9150.74,10397.761540611939,0.9479426541243719386334172423
