window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2021-01-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,365,5,6449.493852642887,244,True,70,6,6466.041626391932,16.54777374904552,1.4959016393442623,"{5: np.float64(6449.49), 6: np.float64(6466.04), 7: np.float64(6483.05), 4: np.float64(6499.0), 3: np.float64(6708.17)}"
1,2021-07-02 00:00:00+00:00,2022-07-01 00:00:00+00:00,365,4,6532.854875588667,191,True,25,6,6542.912492184607,10.05761659594009,1.9109947643979057,"{4: np.float64(6532.85), 6: np.float64(6542.91), 5: np.float64(6626.66), 3: np.float64(6716.9), 7: np.float64(6873.33)}"
2,2021-12-31 00:00:00+00:00,2022-12-30 00:00:00+00:00,365,5,6919.399219697322,244,True,37,7,7010.704409630132,91.30518993281021,1.4959016393442623,"{5: np.float64(6919.4), 7: np.float64(7010.7), 6: np.float64(7144.37), 4: np.float64(7191.87), 3: np.float64(7252.99)}"
