window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2019-06-02 00:00:00+00:00,2020-05-31 00:00:00+00:00,365,6,6394.932770314793,299,True,82,7,6488.782912700301,93.85014238550775,1.2207357859531773,"{6: np.float64(6394.93), 7: np.float64(6488.78), 4: np.float64(6503.05), 5: np.float64(6670.28), 3: np.float64(6834.74)}"
1,2019-12-01 00:00:00+00:00,2020-11-29 00:00:00+00:00,365,6,5667.716231063315,299,True,99,7,5954.558085401811,286.841854338496,1.2207357859531773,"{6: np.float64(5667.72), 7: np.float64(5954.56), 5: np.float64(5983.18), 4: np.float64(6059.09), 3: np.float64(6153.25)}"
2,2020-05-31 00:00:00+00:00,2021-05-30 00:00:00+00:00,365,5,6056.971592400489,244,True,22,4,6094.443387846745,37.47179544625669,1.4959016393442623,"{5: np.float64(6056.97), 4: np.float64(6094.44), 6: np.float64(6135.4), 3: np.float64(6289.46), 7: np.float64(6419.77)}"
3,2020-11-29 00:00:00+00:00,2021-11-28 00:00:00+00:00,365,5,6348.650537137063,244,True,39,4,6508.17146962913,159.520932492067,1.4959016393442623,"{5: np.float64(6348.65), 4: np.float64(6508.17), 3: np.float64(6597.01), 6: np.float64(6633.96), 7: np.float64(6920.17)}"
4,2021-05-30 00:00:00+00:00,2022-05-29 00:00:00+00:00,365,5,6409.589571924569,244,True,96,4,6469.417502295232,59.827930370663125,1.4959016393442623,"{5: np.float64(6409.59), 4: np.float64(6469.42), 6: np.float64(6528.55), 3: np.float64(6562.42), 7: np.float64(6635.32)}"
5,2021-11-28 00:00:00+00:00,2022-11-27 00:00:00+00:00,365,5,7043.235106680094,244,True,87,6,7073.484868558028,30.24976187793436,1.4959016393442623,"{5: np.float64(7043.24), 6: np.float64(7073.48), 4: np.float64(7198.26), 3: np.float64(7291.01), 7: np.float64(7331.07)}"
6,2022-05-29 00:00:00+00:00,2023-05-28 00:00:00+00:00,365,6,6872.194557528988,299,True,22,5,6898.171668408346,25.977110879357497,1.2207357859531773,"{6: np.float64(6872.19), 5: np.float64(6898.17), 4: np.float64(6963.97), 7: np.float64(7023.1), 3: np.float64(7297.48)}"
7,2022-11-27 00:00:00+00:00,2023-11-26 00:00:00+00:00,365,4,6217.196996469995,191,True,75,6,6334.278587989673,117.08159151967811,1.9109947643979057,"{4: np.float64(6217.2), 6: np.float64(6334.28), 5: np.float64(6390.09), 3: np.float64(6449.34), 7: np.float64(6565.45)}"
8,2023-05-28 00:00:00+00:00,2024-05-26 00:00:00+00:00,365,6,6761.707285337809,299,True,61,4,6831.996632970762,70.28934763295365,1.2207357859531773,"{6: np.float64(6761.71), 4: np.float64(6832.0), 5: np.float64(6995.31), 7: np.float64(7046.07), 3: np.float64(7057.86)}"
9,2023-11-26 00:00:00+00:00,2024-11-24 00:00:00+00:00,365,4,7124.80141470064,191,True,99,3,7179.80961429893,55.00819959829005,1.9109947643979057,"{4: np.float64(7124.8), 3: np.float64(7179.81), 7: np.float64(7185.11), 5: np.float64(7190.43), 6: np.float64(7244.03)}"
10,2024-05-26 00:00:00+00:00,2025-05-25 00:00:00+00:00,365,6,6766.019699747217,299,True,45,5,6770.170558352646,4.150858605429676,1.2207357859531773,"{6: np.float64(6766.02), 5: np.float64(6770.17), 4: np.float64(6789.7), 3: np.float64(6887.51), 7: np.float64(7170.39)}"
11,2024-11-24 00:00:00+00:00,2025-11-23 00:00:00+00:00,365,4,6679.023268149759,191,True,83,5,6695.65759209622,16.634323946460427,1.9109947643979057,"{4: np.float64(6679.02), 5: np.float64(6695.66), 3: np.float64(6855.49), 6: np.float64(6971.25), 7: np.float64(6987.4)}"
12,2025-05-25 00:00:00+00:00,2026-05-24 00:00:00+00:00,365,6,6643.194041377709,299,True,158,5,6693.445094914631,50.25105353692197,1.2207357859531773,"{6: np.float64(6643.19), 5: np.float64(6693.45), 4: np.float64(6705.04), 7: np.float64(6741.04), 3: np.float64(6876.91)}"
