window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2020-03-19 00:00:00+00:00,2021-03-18 00:00:00+00:00,365,6,5435.293445595187,749,True,16,7,5552.556188160736,117.26274256554916,0.48731642189586116,"{6: np.float64(5435.29), 7: np.float64(5552.56), 5: np.float64(6038.44), 4: np.float64(6161.74), 3: np.float64(6765.87)}"
1,2020-09-17 00:00:00+00:00,2021-09-16 00:00:00+00:00,365,7,6285.742476679105,881,True,30,6,6830.164726250962,544.4222495718577,0.41430192962542567,"{7: np.float64(6285.74), 6: np.float64(6830.16), 5: np.float64(6951.52), 4: np.float64(7094.83), 3: np.float64(7672.18)}"
2,2021-03-18 00:00:00+00:00,2022-03-17 00:00:00+00:00,365,7,6589.9368581106855,881,True,22,5,6703.0890880182815,113.15222990759594,0.41430192962542567,"{7: np.float64(6589.94), 5: np.float64(6703.09), 6: np.float64(6721.86), 4: np.float64(6879.58), 3: np.float64(7082.11)}"
3,2021-09-16 00:00:00+00:00,2022-09-15 00:00:00+00:00,365,5,6435.44084020701,619,True,41,6,6579.169731958413,143.72889175140244,0.5896607431340872,"{5: np.float64(6435.44), 6: np.float64(6579.17), 4: np.float64(6665.38), 7: np.float64(6683.01), 3: np.float64(6696.79)}"
4,2022-03-17 00:00:00+00:00,2023-03-16 00:00:00+00:00,365,7,6769.854859645424,881,True,17,5,6948.452434536441,178.59757489101685,0.41430192962542567,"{7: np.float64(6769.85), 5: np.float64(6948.45), 6: np.float64(6980.18), 4: np.float64(7478.59), 3: np.float64(7586.79)}"
5,2022-09-15 00:00:00+00:00,2023-09-14 00:00:00+00:00,365,5,5677.416127144849,619,True,14,6,5988.58616699899,311.17003985414067,0.5896607431340872,"{5: np.float64(5677.42), 6: np.float64(5988.59), 7: np.float64(6172.63), 4: np.float64(6178.51), 3: np.float64(6403.44)}"
6,2023-03-16 00:00:00+00:00,2024-03-14 00:00:00+00:00,365,5,6266.967930688028,619,True,31,7,6339.817756530076,72.84982584204772,0.5896607431340872,"{5: np.float64(6266.97), 7: np.float64(6339.82), 4: np.float64(6483.51), 6: np.float64(6503.78), 3: np.float64(6930.58)}"
7,2023-09-14 00:00:00+00:00,2024-09-12 00:00:00+00:00,365,5,7426.3082933683345,619,True,20,6,7468.068915125294,41.760621756959154,0.5896607431340872,"{5: np.float64(7426.31), 6: np.float64(7468.07), 4: np.float64(7634.78), 3: np.float64(8152.14), 7: np.float64(8289.65)}"
8,2024-03-14 00:00:00+00:00,2025-03-13 00:00:00+00:00,365,5,7536.849181026846,619,True,29,4,7540.868346713489,4.0191656866427365,0.5896607431340872,"{5: np.float64(7536.85), 4: np.float64(7540.87), 6: np.float64(7766.32), 3: np.float64(7938.88), 7: np.float64(7988.49)}"
9,2024-09-12 00:00:00+00:00,2025-09-11 00:00:00+00:00,365,6,6541.469847390039,749,True,24,4,6568.366011199846,26.89616380980715,0.48731642189586116,"{6: np.float64(6541.47), 4: np.float64(6568.37), 5: np.float64(6799.69), 7: np.float64(6901.69), 3: np.float64(6988.26)}"
10,2025-03-13 00:00:00+00:00,2026-03-12 00:00:00+00:00,365,5,6748.491731407689,619,True,35,4,6983.999899704495,235.5081682968057,0.5896607431340872,"{5: np.float64(6748.49), 4: np.float64(6984.0), 6: np.float64(7174.28), 3: np.float64(7194.84), 7: np.float64(7610.84)}"
